Company,Valuation,Industry,City,Country,Continent,Funding,Select Investors
SmartHR,2000000000,Fintech,Tokyo,Japan,Asia,190000000,"BEENEXT, World Innovation Lab, Light Street Capital"
Tonal,2000000000,E-commerce & direct-to-consumer,San Francisco,United States,North America,450000000,"Mayfield Fund, Shasta Ventures, L Catterton"
Truepill,2000000000,Health,Hayward,United States,North America,255000000,"Initialized Capital, Sound Ventures, TI Platform Management"
Unite Us,2000000000,Health,New York,United States,North America,195000000,"Insight Partners, Sequoia Capital, Index Ventures"
Verkada,2000000000,Cybersecurity,San Mateo,United States,North America,139000000,"next47, First Round Capital, Sequoia Capital"
Wayflyer,2000000000,Fintech,Dublin,Ireland,Europe,236000000,"QED Investors, DST Global, Left Lane Capital"
Zhubajie,2000000000,Internet software & services,Chongqing,China,Asia,445000000,"Cybernaut Growth Fund, IDG Capital"
Transcarent,2000000000,Health,San Francisco,United States,North America,298000000,"Alta Partners, General Catalyst, Jove Equity Partners"
Trader Interactive,2000000000,Other,Norfolk,United States,North America,624000000,Carsales
Glossier,2000000000,Consumer & retail,New York,United States,North America,266000000,"Forerunner Ventures, Institutional Venture Partners, Thrive Capital"
Hibob,2000000000,Internet software & services,Tel Aviv,Israel,Asia,274000000,"Bessemer Venture Partners, Eight Roads Ventures, Battery Ventures"
Jobandtalent,2000000000,Internet software & services,Madrid,Spain,Europe,902000000,"Kibo Ventures, SoftBank Group, Atomico"
Optimism,2000000000,Internet software & services,San Francisco,United States,North America,179000000,"Paradigm, Huobi Ventures, Andreessen Horowitz"
solarisBank,2000000000,Fintech,Berlin,Germany,Europe,403000000,"Yabeo Capital, SBI Investment, Vulcan Capital"
WEMAKEPRICE,2000000000,E-commerce & direct-to-consumer,Seoul,South Korea,Asia,397000000,"IMM Investment, NXC"
Alan,2000000000,Fintech,Paris,France,Europe,364000000,"Index Ventures, Temasek, Portag3 Ventures"
Biren Technology,2000000000,Hardware,Shanghai,China,Asia,285000000,"V FUND, IDG Capital, Green Pine Capital Partners"
Voodoo,2000000000,Other,Paris,France,Europe,517000000,"Tencent Holdings, Goldman Sachs"
Carsome,2000000000,E-commerce & direct-to-consumer,Selangor,Malaysia,Asia,577000000,"Gobi Partners, 500 Startups, Ondine Capital"
CircleCI,2000000000,Internet software & services,San Francisco,United States,North America,315000000,"Threshold Ventures, Baseline Ventures, Harrison Metal"
DealShare,2000000000,E-commerce & direct-to-consumer,Bengaluru,India,Asia,612000000,"Alpha Wave Global, Matrix Partners India, Tiger Global Management"
DispatchHealth,2000000000,Health,Denver,United States,North America,403000000,"Alta Partners, Questa Capital, Echo Health Venturesl"
Dragos,2000000000,Cybersecurity,Hanover,United States,North America,358000000,"DataTribe, Energy Impact Partners, AllegisCyber Capital"
Gousto,2000000000,"Supply chain, logistics, & delivery",London,United Kingdom,Europe,311000000,"MMC Ventures, BGF Ventures, Unilever Ventures"
H2O.ai,2000000000,Artificial intelligence,Mountain View,United States,North America,251000000,"Nexus Venture Partners, Transamerica Ventures, Crane Venture Partners"
Harness,2000000000,Artificial intelligence,San Francisco,United States,North America,195000000,"Menlo Ventures, Alkeon Capital Management, Citi Ventures"
Harry's,2000000000,Consumer & retail,New York,United States,North America,792000000,"Thrive Capital, Tiger Global Management, Temasek"
PAX,2000000000,Consumer & retail,San Francisco,United States,North America,542000000,"Tao Capital Partners, Global Asset Capital, Tiger Global Management"
Productboard,2000000000,Internet software & services,San Francisco,United States,North America,261000000,"Index Ventures, Kleiner Perkins Caufield & Byers, Bessemer Venture Partners"
Reltio,2000000000,Data management & analytics,Redwood City,United States,North America,237000000,"Crosslink Capital, .406 Ventures, Sapphire Ventures"
Spotter,2000000000,Fintech,Los Angeles,United States,North America,231000000,"SoftBank Group, Access Industries, Crossbeam Venture Partners"
Vestiaire Collective,2000000000,E-commerce & direct-to-consumer,Paris,France,Europe,663000000,"Eurazeo, IDInvest Partners, Balderton Capital"
Wave,2000000000,Fintech,Dakar,Senegal,Africa,200000000,"Stripe, Founders Fund, Partech Partners"
ZenBusiness,2000000000,Fintech,Austin,United States,North America,275000000,"Greycroft, Lerer Hippeau, Geekdom Fund"
Bowery Farming,2000000000,Other,New York,United States,North America,497000000,"Temasek, Google Ventures, General Catalyst"
Greenlight,2000000000,Fintech,Atlanta,United States,North America,557000000,"Relay Ventures, TTV Capital, Canapi Ventures"
KeepTruckin,2000000000,"Supply chain, logistics, & delivery",San Francisco,United States,North America,417000000,"Google Ventures, Index Ventures, Scale Venture Partners"
Odoo,2000000000,Internet software & services,Louvain-la-Neuve,Belgium,Europe,229000000,"Summit Partners, Noshaq, Sofinnova Partners"
Skydance Media,2000000000,Other,Santa Monica,United States,North America,275000000,"RedBird Capital Partners, CJ ENM, Tencent Holdings"
Uptake,2000000000,Artificial intelligence,Chicago,United States,North America,218000000,"Revolution, New Enterprise Associates, Caterpillar"
MoMo,2000000000,Fintech,Ho Chi Minh City,Vietnam,Asia,434000000,"Goodwater Capital, Warburg Pincus, GS Growth"
Algolia,2000000000,Internet software & services,San Francisco,United States,North America,334000000,"Accel, Alven Capital, Storm Ventures"
Pattern,2000000000,Internet software & services,Lehi,United States,North America,277000000,"Knox Lane, Ainge Advisory, Carlson Private Capital Partners"
Spinny,2000000000,E-commerce & direct-to-consumer,Gurugram,India,Asia,509000000,"General Catalyst, Eleation Capital, Avenir Growth Capital"
Trulioo,2000000000,Cybersecurity,Vancouver,Canada,North America,474000000,"Blumberg Capital, American Express Ventures, BDC Venture Capital"
Zume,2000000000,Consumer & retail,Mountain View,United States,North America,423000000,"Softbank Group, AME Cloud Ventures, SignalFire"
AIWAYS,2000000000,Auto & transportation,Shanghai,China,Asia,792000000,"Jiangsu Sha Steel Group, Shanghai Puyin Industry, Funa Yuanchuang Technology"
Bitso,2000000000,Fintech,Mexico City,Mexico,North America,378000000,"Pantera Capital, QED Investors, Coinbase Ventures"
BloomReach,2000000000,Artificial intelligence,Mountain View,United States,North America,422000000,"Bain Capital Ventures, Sixth Street Growth, Lightspeed Venture Partners"
Current,2000000000,Fintech,New York,United States,North America,402000000,"Expa, QED Investors, Foundation Capital"
Dialpad,2000000000,Internet software & services,San Francisco,United States,North America,400000000,"Andreessen Horowitz, Google Ventures, Section 32"
G7 Networks,2000000000,"Supply chain, logistics, & delivery",Beijing,China,Asia,710000000,"Eastern Bell Capital 32, SDIC CMC Investment Management, Trustbridge Partners"
Gympass,2000000000,Internet software & services,New York,United States,North America,525000000,"General Atlantic, SoftBank Group, Atomico"
MUSINSA,2000000000,E-commerce & direct-to-consumer,Seoul,South Korea,Asia,287000000,Sequoia Capital
NuCom Group,2000000000,Other,Unterfoehring,Germany,Europe,550000000,General Atlantic
Reify Health,2000000000,Health,Boston,United States,North America,259000000,"Sierra Ventures, Battery Ventures, Asset Management Ventures"
Diamond Foundry,2000000000,Other,San Francisco,United States,North America,351000000,"Fashion Tech Lab, Fidelity Investments, Vast Ventures"
FullStory,2000000000,Internet software & services,Atlanta,United States,North America,172000000,"Google Ventures, Kleiner Perkins Caufield & Byers, Stripes Group"
Lightricks,2000000000,Artificial intelligence,Jerusalem,Israel,Asia,305000000,"Viola Ventures, Insight Partners, ClalTech, Goldman Sachs"
Opentrons,2000000000,Hardware,New York,United States,North America,240000000,"SOSV, Khosla Ventures, Lerer Hippeau"
ZocDoc,2000000000,Health,New York,United States,North America,374000000,"Founders Fund, Khosla Ventures, Goldman Sachs"
Accelerant,2000000000,Other,Colchester,United Kingdom,Europe,193000000,"Deer Park Road, Altamont Capital Partners, Eldridge"
Huaqin Telecom Technology,2000000000,Mobile & telecommunications,Shanghai,China,Asia,298000000,"Zhangjiang Haocheng Venture Capital, Walden International, Intel Capital"
Addepar,2000000000,Fintech,Mountain View,United States,North America,676000000,"8VC, D1 Capital Partners, Sway Ventures"
YITU Technology,2000000000,Artificial intelligence,Shanghai,China,Asia,401000000,"Sequoia Capital China, Banyan Capital"
CloudWalk,2000000000,Fintech,Sao Paulo,Brazil,South America,345000000,"Plug and Play Ventures, Valor Capital Group, DST Global"
Retool,2000000000,Internet software & services,San Francisco,United States,North America,96000000,Sequoia Capital
Volocopter,2000000000,Auto & transportation,Bruchsal,Germany,Europe,599000000,"btov Partners, Geely, Intel Capital"
Acorns,2000000000,Fintech,Irvine,United States,North America,507000000,"e.ventures, Bain Capital Ventures, Greycroft"
Aledade,2000000000,Health,Bethesda,United States,North America,295000000,"Venrock, CVF Capital Partners, ARCH Venture Partners"
CoinSwitch Kuber,2000000000,Fintech,Bangalore,India,Asia,301000000,"Tiger Global Management, Sequoia Capital India, Ribbit Capital"
ConcertAI,2000000000,Artificial Intelligence,Boston,United States,North America,300000000,"Sixth Street Partners, Declaration Partners, Maverick Ventures Israel"
Eightfold.ai,2000000000,Internet software & services,Santa Clara,United States,North America,397000000,"Foundation Capital, Institutional Venture Partners, General Catalyst"
FirstCry,2000000000,E-commerce & direct-to-consumer,Pune,India,Asia,441000000,"SoftBank Group, SAIF Partners India, Valiant Capital Partners"
Forto,2000000000,"Supply chain, logistics, & delivery",Berlin,Germany,Europe,593000000,"Cherry Ventures, Northzone Ventures, Global Founders Capital"
GoCardless,2000000000,Fintech,London,United Kingdom,Europe,529000000,"Accel, Passion Capital, Balderton Capital"
InVision,2000000000,Internet software & services,New York,United States,North America,349000000,"FirstMark Capital, Tiger Global Management, ICONIQ Capital"
Jeeves,2000000000,Fintech,Orlando,United States,North America,268000000,"Tencent Holdings, CRV, Clocktower Technology Ventures"
Medable,2000000000,Internet software & services,Palo Alto,United States,North America,507000000,"GSR Ventures, Sapphire Ventures, Streamlined Ventures"
Moveworks,2000000000,Artificial intelligence,Mountain View,United States,North America,305000000,"Lightspeed Venture Partners, Sapphire Ventures, Kleiner Perkins Caufield & Byers"
MX Technologies,2000000000,Fintech,Lehi,United States,North America,450000000,"Point72 Ventures, Pelion Venture Partners, Commerce Ventures"
PayFit,2000000000,Fintech,London,United Kingdom,Europe,496000000,"Accel, frst, Kima Ventures"
ReCharge,2000000000,Fintech,Los Angeles,United States,North America,277000000,"ICONIQ Growth, Bain Capital Ventures, Summit Partners"
Roofstock,2000000000,Fintech,Oakland,United States,North America,365000000,"Khosla Ventures, Bain Capital Ventures, Lightspeed Venture Partners"
Urban Company,2000000000,E-commerce & direct-to-consumer,Gurgaon,India,Asia,371000000,"VY Capital, Accel, Elevation Capital"
Rokt,2000000000,Internet software & services,New York,United States,North America,487000000,"Square Peg Capital, TDM Growth Partners, Tiger Global Management"
Starling Bank,2000000000,Fintech,London,United Kingdom,Europe,791000000,"JTC Group, Qatar Investment Authority, Fidelity Investment"
Ankorstore,2000000000,E-commerce & direct-to-consumer,Paris,France,Europe,422000000,"Global Founders Capital, Aglae Ventures, Alven Capital"
4Paradigm,2000000000,Artificial intelligence,Beijing,China,Asia,1000000000,"Sequoia Capital China, China Construction Bank, Bank of China"
Advance Intelligence Group,2000000000,Artificial intelligence,,Singapore,Asia,536000000,"Vision Plus Capital, GSR Ventures, ZhenFund"
Aiven,2000000000,Internet software & services,Helsinki,Finland,Europe,210000000,"Institutional Venture Partners, Atomico, Earlybird Venture Capital"
Akulaku,2000000000,E-commerce & direct-to-consumer,Jakarta,Indonesia,Asia,438000000,"DCM Ventures, IDG Capital, Siam Commercial Bank"
Apeel Sciences,2000000000,Other,Goleta,United States,North America,640000000,"Upfront Ventures, Tao Capital Partners, Andreessen Horowitz"
AppsFlyer,2000000000,Mobile & telecommunications,San Francisco,United States,North America,293000000,"Magma Venture Partners, Pitango Venture Capital, Qumra Capital"
Avant,2000000000,Artificial intelligence,Chicago,United States,North America,658000000,"RRE Ventures, Tiger Global, August Capital"
Aviatrix,2000000000,Internet software & services,Santa Clara,United States,North America,341000000,"Ignition Partners, Formation 8, CRV"
BlaBlaCar,2000000000,Auto & transportation,Paris,France,Europe,449000000,"Accel Partners, Index Ventures, Insight Venture Partners"
Black Sesame Technologies,2000000000,Artificial intelligence,Shanghai,China,Asia,115000000,"Northern Light Venture Capital, Xiaomi, FutureX Capital"
Bunq,2000000000,Fintech,Amsterdam,Netherlands,Europe,281000000,Undisclosed
Calm,2000000000,Consumer & retail,San Francisco,United States,North America,218000000,"Insight Venture Partners, TPG Growth, Sound Ventures"
Chipper Cash,2000000000,Fintech,San Francisco,United States,North America,302000000,"Deciens Capital, Bezos Expeditions, 500 Startups"
Clearco,2000000000,Fintech,Toronto,Canada,North America,433000000,"Highland Capital Partners, Oak HC/FT Partners, Emergence Capital Partners"
ClickHouse,2000000000,Data management & analytics,Portola Valley,United States,North America,300000000,"Lightspeed Venture Partners, Almaz Capital Partners, Altimeter Capital"
Clip,2000000000,Fintech,Mexico City,Mexico,North America,381000000,"Alta Ventures Mexico, General Atlantic, SoftBank Group"
Cloudinary,2000000000,Internet software & services,Santa Clara,United States,North America,100000000,"Blackstone, Bessemer Venture Partners"
Deliverr,2000000000,"Supply chain, logistics, & delivery",San Francisco,United States,North America,456000000,"8VC, Activant Capital, GLP Capital Partners"
Divvy Homes,2000000000,Fintech,San Francisco,United States,North America,370000000,"Andreessen Horowitz, Caffeinated Capital, SciFi VC"
Dremio,2000000000,Data management & analytics,Santa Clara,United States,North America,410000000,"Lightspeed Venture Partners, Redpoint Ventures, Norwest Venture Partners"
Druva,2000000000,Data management & analytics,Sunnyvale,United States,North America,475000000,"Nexus Venture Partners, Tenaya Capital, Sequoia Capital"
Everlaw,2000000000,Internet software & services,Oakland,United States,North America,299000000,"K9 Ventures, Menlo Ventures, Andreessen Horowitz"
Exotec,2000000000,Hardware,Croix,France,Europe,450000000,"Breega Capital, Iris Capital, 360 Capital Partners"
Formlabs,2000000000,Hardware,Somerville,United States,North America,251000000,"Pitango Venture Capital, DFJ Growth Fund, Foundry Group"
Guoquan Shihui,2000000000,Consumer & retail,Shanghai,China,Asia,523000000,"Tiantu Capital, CMB International Capital, Vision Knight Capital"
Hive,2000000000,Artificial intelligence,San Francisco,United States,North America,121000000,"Tomales Bay Capital, Bain & Company, General Catalyst"
HuiMin,2000000000,E-commerce & direct-to-consumer,Beijing,China,Asia,517000000,"Zheshang Venture Capital, GP Capital, Western Capital Management"
ISN,2000000000,"Supply chain, logistics, & delivery",Dallas,United States,North America,Unknown,Blackstone
Iterable,2000000000,Internet software & services,San Francisco,United States,North America,342000000,"CRV, Blue Cloud Ventures, Index Ventures"
Kajabi,2000000000,Internet software & services,Irvine,United States,North America,550000000,"Meritech Capital Partners, Tiger Global Management, Spectrum Equity"
Kaseya,2000000000,Cybersecurity,Miami,United States,North America,545000000,"Insight Partners, TPG Alternative & Renewable Technologies, Ireland Strategic Investment Fund"
Keep,2000000000,Mobile & telecommunications,Beijing,China,Asia,614000000,"Bertelsmann Asia Investments, GGV Capital, Morningside Venture Capital"
KRY,2000000000,Health,Stockholm,Sweden,Europe,569000000,"Index Ventures, Creandum, Accel"
Loggi,2000000000,"Supply chain, logistics, & delivery",Sao Paulo,Brazil,South America,507000000,"Qualcomm Ventures, SoftBank Group, Monashees+"
LTK,2000000000,Internet software & services,Dallas,United States,North America,315000000,"SoftBank Group, Maverick Capital"
Lunar,2000000000,Fintech,Aarhus,Denmark,Europe,448000000,"SEED Capital, Greyhound Capital, Socii Capital"
Mafengwo,2000000000,Travel,Beijing,China,Asia,503000000,"Qiming Venture Partners, Capital Today, General Atlantic"
Magic Leap,2000000000,Hardware,Plantation,United States,North America,3000000000,"Obvious Ventures, Qualcomm Ventures, Andreessen Horowitz"
Misfits Market,2000000000,E-commerce & direct-to-consumer,Pennsauken,United States,North America,527000000,"Accel, D1 Capita Partners, Greenoaks Capital Management"
Modern Treasury,2000000000,Fintech,San Francisco,United States,North America,183000000,"Benchmark, Altimeter Capital, Quiet Capital"
MURAL,2000000000,Internet software & services,San Francisco,United States,North America,192000000,"Insight Partners, Tiger Global Management, Gradient Ventures"
Mynt,2000000000,Fintech,Taguig City,Philippines,Asia,475000000,"Insight Partners, Warburg Pincus, Ayala Corporation"
Neo4j,2000000000,Data management & analytics,San Mateo,United States,North America,408000000,"Eight Roads Ventures, One Peak Partners, Creandum"
Netlify,2000000000,Internet software & services,San Francisco,United States,North America,202000000,"Andreessen Horowitz, Kleiner Perkins Caufield & Byers, EQT Ventures"
OCSiAl,2000000000,Other,Leudelange,Luxembourg,Europe,285000000,"A&NN, Rusnano"
Opay,2000000000,Fintech,Lagos,Nigeria,Africa,570000000,"Sequoia Capital China, Source Code Capital, Redpoint Ventures China"
Pipe,2000000000,Fintech,Miami,United States,North America,566000000,"next47, MaC Venture Capital, FinVC"
Preferred Networks,2000000000,Artificial intelligence,Tokyo,Japan,Asia,147000000,"Toyota Motor Corporation, Mizuho Financial Group, FANUC"
Quora,2000000000,Internet software & services,Mountain View,United States,North America,226000000,"Y Combinator, Matrix Partners, Benchmark"
Redis Labs,2000000000,Data management & analytics,Mountain View,United States,North America,356000000,"Viola Ventures, Dell Technologies Capital, Bain Capital Ventures"
SmartNews,2000000000,Mobile & telecommunications,Tokyo,Japan,Asia,410000000,"Japan Post Capital, Globis Capital Partners, Atomico"
Spring Health,2000000000,Health,New York,United States,North America,296000000,"Rethink Impact, Work-Bench, RRE Ventures"
StarkWare,2000000000,Cybersecurity,Netanya,Israel,Asia,161000000,"Sequoia Capital, Paradigm, Pantera Capital"
SWORD Health,2000000000,Health,New York,United States,North America,296000000,"Khosla Ventures, Green Innovations, Founders Fund"
Tier,2000000000,Travel,Berlin,Germany,Europe,587000000,"Northzone Ventures, White Star Capital, Novator Partners"
Trendy Group International,2000000000,Consumer & retail,Kowloon,Hong Kong,Asia,200000000,L Capital Partners
Unqork,2000000000,Fintech,New York,United States,North America,365000000,"Blackrock, capitalG, World Lab Innovation"
VerbIT,2000000000,Artificial intelligence,New York,United States,North America,432000000,"ClalTech, Vertex Ventures, Oryzn Capital"
Virta Health,2000000000,Health,San Francisco,United States,North America,373000000,"Caffeinated Capital, Obvious Ventures, Venrock"
Xinchao Media,2000000000,Internet software & services,Chengdu,China,Asia,768000000,"JD.com, Baidu, Vision Plus Capital"
Xingyun Group,2000000000,E-commerce & direct-to-consumer,Shenzhen,China,Asia,950000000,"Matrix Partners China, Eastern Bell Capital, Hongtai Capital Holdings"
XtalPi,2000000000,Artificial intelligence,Shenzhen,China,Asia,786000000,"Tencent Holdings, 5Y Capital, Sequoia Capital China"
Zilch,2000000000,Fintech,London,United Kingdom,Europe,339000000,"Gauss Ventures, Ventura Capital, dmg ventures"
56PINGTAI,1000000000,"Supply chain, logistics, & delivery",Shanghai,China,Asia,188000000,"QF Capital, QC Capital, Unicom Innovation Venture Capital"
Alzheon,1000000000,Health,Framingham,United States,North America,94000000,"ARCH Venture Partners, Ally Bridge Group"
Aprogen,1000000000,Health,Seongnam-Si,South Korea,Asia,62000000,"Lindeman Asia Investment, Nichi-Iko Pharmaceutical"
Axtria,1000000000,Data management & analytics,Berkeley Heights,United States,North America,206000000,"Helion Venture Partners, Bain Capital Tech Opportunities, Sequoia Capital India"
Cell C,1000000000,Mobile & telecommunications,Midrand,South Africa,Africa,547000000,"Blue Label Telecoms, Net1 UEPS Technologies"
China Cloud,1000000000,Hardware,Wuxi,China,Asia,523000000,"V Star Capital, GF Xinde Investment Management Co., Haitong Leading Capital Management"
CredAvenue,1000000000,Fintech,Chennai,India,Asia,227000000,"Insight Partners, B Capital Group, Lightspeed Venture Partners"
DeepBlue Technology,1000000000,Artificial intelligence,Shanghai,China,Asia,79000000,"DESUN Capital, Yunfeng Capital, Meridian Capital"
dMed Biopharmaceutical,1000000000,Health,Shanghai,China,Asia,214000000,"Qiming Venture Partners, Vivo Capital, Sequoia Capital China"
Einride,1000000000,Auto & transportation,Stockholm,Sweden,Europe,151000000,"Temasek, BUILD Capital Partners, Northzone Ventures"
EQRx,1000000000,Health,Cambridge,United States,North America,700000000,"Nextech Invest, Casdin Capital, Google Ventures"
Everly Health,1000000000,E-commerce & direct-to-consumer,Austin,United States,North America,231000000,"Highland Capital Partners, Next Coast Ventures, SoGal Ventures"
Fair,1000000000,Auto & transportation,Santa Monica,United States,North America,2000000000,"CreditEase Fintech Investment Fund, BMW i Ventures, SoftBank Group"
Flipboard,1000000000,Internet software & services,Palo Alto,United States,North America,211000000,"Kleiner Perkins Caufield & Byers, Comcast Ventures, Insight Partners"
Globality,1000000000,Artificial intelligence,Menlo Park,United States,North America,310000000,SoftBank Group
Hosjoy,1000000000,E-commerce & direct-to-consumer,Nanjing,China,Asia,139000000,"U.S.-China Green Fund, Founder H Fund, Richland Equities"
Huisuanzhang,1000000000,Fintech,Beijing,China,Asia,227000000,"IDG Capital, Gaocheng Capital, Chuanrong Capital"
HuJiang,1000000000,Edtech,Shanghai,China,Asia,223000000,"China Minsheng Investment, Baidu, Wanxin Media"
Hyperchain,1000000000,Fintech,Hangzhou,China,Asia,249000000,"Yinhong Equity Investment Fund, E Fund, Ideal International"
iTutorGroup,1000000000,Edtech,Shanghai,China,Asia,315000000,"QiMing Venture Partners, Temasek Holdings, Silverlink Capital"
JimuBox,1000000000,Fintech,Beijing,China,Asia,131000000,"Matrix Partners China, Ventech China, Shunwei Capital Partners"
Juma Peisong,1000000000,"Supply chain, logistics, & delivery",Chengdu,China,Asia,281000000,"Ding Xiang Capital, New Hope Fund, Sino-Ocean Capital"
Justworks,1000000000,Internet software & services,New York,United States,North America,143000000,"Index Ventures, Thrive Capital, Bain Capital Ventures"
Keenon Robotics,1000000000,"Supply chain, logistics, & delivery",Shanghai,China,Asia,229000000,"Yunqi Partners, SoftBank Group, iVision Ventures"
Kuaigou Dache,1000000000,"Supply chain, logistics, & delivery",Tianjin,China,Asia,650000000,"Sequoia Capital China, InnoVision Capital, Qianhai Fund of Funds"
LifeMiles,1000000000,Other,Bogota,Colombia,South America,344000000,Advent International
LinkSure Network,1000000000,Mobile & telecommunications,Shanghai,China,Asia,52000000,N/A
MobiKwik,1000000000,Fintech,Gurugram,India,Asia,249000000,"Sequoia Capital India, The Times Group, GMO VenturePartners"
Modernizing Medicine,1000000000,Health,Boca Raton,United States,North America,394000000,"Warburg Pincus, Summit Partners, Sands Capital"
OVH,1000000000,Other,Roubaix,France,Europe,1000000000,"KKR, TowerBrook Capital Partners"
Phenom People,1000000000,Internet software & services,Ambler,United States,North America,163000000,"Sierra Ventures, AXA Venture Partners, Sigma Prime Ventures"
Pipa Coding,1000000000,Edtech,Beijing,China,Asia,268000000,"Source Code Capital, XVC Venture Capital, Hillhouse Capital Management"
Qingting FM,1000000000,Internet software & services,Shanghai,China,Asia,164000000,"China Culture Industrial Investment Fund, We Capital, China Minsheng Investment Group"
Rad Power Bikes,1000000000,Auto & transportation,Seattle,United States,North America,329000000,"Durable Capital Partners, Cercano Management, T. Rowe Price"
Shukun Technology,1000000000,Artificial Intelligence,Beijing,China,Asia,211000000,"Marathon Venture Partners, Huagai Capital, China Creation Ventures"
Shulan Health,1000000000,Health,Hangzhou,China,Asia,43000000,Qiming Venture Partners
SITECH DEV,1000000000,Other,Guiyang,China,Asia,Unknown,China Prosperity Capital
Snapdeal,1000000000,E-commerce & direct-to-consumer,New Delhi,India,Asia,2000000000,"SoftBankGroup, Blackrock, Alibaba Group"
SumUp,1000000000,Fintech,London,United Kingdom,Europe,1000000000,"American Express Ventures, Goldman Sachs, Bain Capital Credit"
TalkingData,1000000000,Mobile & telecommunications,Beijing,China,Asia,310000000,"N5 Capital, CR Capital Mgmt, JD Digits"
TUNGEE,1000000000,Artificial Intelligence,Guangzhou,China,Asia,171000000,"UNITY VENTURES, Qiming Venture Partners, GGV Capital"
UISEE Technology,1000000000,"Supply chain, logistics, & delivery",Beijing,China,Asia,154000000,"Shenzhen Capital Group, Robert Bosch Venture Capital, SeptWolves Ventures"
Valgen Medtech,1000000000,Health,Hangzhou,China,Asia,188000000,"Sequoia Capital China, China Life Investment Holding Company, Qiming Venture Partners"
Vectra Networks,1000000000,Artificial intelligence,San Jose,United States,North America,352000000,"IA Ventures, Khosla Ventures, AME Cloud Ventures"
Venafi,1000000000,Cybersecurity,Salt Lake City,United States,North America,174000000,"Pelion Venture Partners, Foundation Capital, Thoma Bravo"
Wacai,1000000000,Mobile & telecommunications,Hangzhou,China,Asia,369000000,"Qiming Venture Partners, China Broadband Capital, CDH Investments"
WeBull,1000000000,Fintech,Changsha,China,Asia,230000000,"Bojiang Capital, Hongdao Capital, Mobai Capital"
WTOIP,1000000000,Internet software & services,Guangzhou,China,Asia,307000000,"Dark Horse Technology Group, Hopu Investment Management, Kefa Capital"
Xiaobing,1000000000,Fintech,Beijing,China,Asia,Unknown,"NetEase Capital, Northern Light Venture Capital, Microsoft"
Xiaoe Tech,1000000000,Internet software & services,Shenzhen,China,Asia,149000000,"GGV Capital, Hillhouse Capital Management, IDG Capital"
Yiguo,1000000000,"Supply chain, logistics, & delivery",Shanghai,China,Asia,800000000,"Alibaba Group, KKR, Goldman Sachs"
Yimidida,1000000000,"Supply chain, logistics, & delivery",Shanghai,China,Asia,554000000,"Source Code Capital, Global Logistic Properties, K2VC"
Yipin Shengxian,1000000000,E-commerce & direct-to-consumer,Hefei,China,Asia,658000000,"Eastern Bell Capital, Capital Today, Longzhu Capital"
Ynsect,1000000000,Other,Evry,France,Europe,393000000,"Astanor Ventures, Upfront Ventures, IDInvest Partners"
Hello TransTech,1000000000,Auto & transportation,Shanghai,China,Asia,2000000000,"Ant Financial Services Group, GGV Capital"
Miaoshou Doctor,1000000000,E-commerce & direct-to-consumer,Beijing,China,Asia,947000000,"Sequoia Capital China, Qiming Venture Partners, Tencent Holdings"
ECARX,1000000000,Auto & transportation,Wuhan,China,Asia,394000000,"Geely, SIG Asia Investments, China State Capital Venture Capital Fund"
Eat Just,1000000000,Consumer & retail,San Francisco,United States,North America,440000000,"Khosla Ventures, Horizons Ventures, Founders Fund"
Trumid,1000000000,Fintech,New York,United States,North America,660000000,"T. Rowe Price, Dragoneer Investment Group, BlackRock"
Qualia,1000000000,Fintech,San Francisco,United States,North America,160000000,"8VC, Menlo Ventures, Tiger Global Management"
Beisen,1000000000,Internet software & services,Beijing,China,Asia,388000000,"Matrix Partners China, Sequoia Capital China, Genesis Capital"
Earnix,1000000000,Fintech,Giv'atayim,Israel,Asia,98000000,"Jerusalem Venture Partners, Israel Growth Partners, Insight Partners"
Kujiale,1000000000,Internet software & services,Hangzhou,China,Asia,235000000,"GGV Capital, IDG Capital, Linear Venture"
Orca Security,1000000000,Cybersecurity,Portland,United States,North America,632000000,"YL Ventures, Redpoint Ventures, GGV Capital"
Apus Group,1000000000,Mobile & telecommunications,Beijing,China,Asia,116000000,"Redpoint Ventures, QiMing Venture Partners, Chengwei Capital"
Forte Labs,1000000000,Fintech,San Francisco,United States,North America,910000000,"Iris Capital, Accel, Elaia Partners"
CureFit,1000000000,Health,Bengaluru,India,Asia,665000000,"Chiratae Ventures, Accel, Kalaari Capital"
DT Dream,1000000000,Data management & analytics,Hangzhou,China,Asia,267000000,"Alibaba Group, China Everbright Investment Management, Yinxinggu Capital"
fabric,1000000000,E-commerce & direct-to-consumer,Bellevue,United States,North America,294000000,"Redpoint Ventures, Norwest Venture Partners, Sierra Ventures"
JOLLY Information Technology,1000000000,E-commerce & direct-to-consumer,Hangzhou,China,Asia,96000000,"Legend Capital, CDH Investments, Sequoia Capital China"
K Health,1000000000,Health,New York,United States,North America,271000000,"Max Ventures, Mangrove Capital Partners, 14W"
Mofang Living,1000000000,E-commerce & direct-to-consumer,Shanghai,China,Asia,650000000,"Warburg Pincus, Aviation Industry Corporation of China"
Spendesk,1000000000,Fintech,Paris,France,Europe,314000000,"Index Ventures, Eight Roads Ventures, General Atlantic"
TaxBit,1000000000,Fintech,Draper,United States,North America,236000000,"Insight Partners, Coinbase Ventures, PayPal Ventures"
